"","Stage1","Stage3","Stage5","Stage7","cluster"
"FakeGeneID005762",-0.165371710749023,-1.31106935083821,0.75110694075005,0.725334120837186,3
"FakeGeneID014703",-0.306373242175401,-1.13301424336599,0.923708989073162,0.515678496468232,4
"FakeGeneID009580",-0.710770322148799,-1.04489263010486,0.947508962262995,0.808153989990664,7
"FakeGeneID023055",-1.02813818704358,-0.7612845305718,0.760796082143487,1.0286266354719,9
"FakeGeneID017846",-0.893324071006159,-0.904793470450272,1.12166745564984,0.676450085806591,7
"FakeGeneID025390",0.696554044645638,0.786963110792255,-0.85159254890268,-0.631924606535208,8
"FakeGeneID020194",0.61333224423358,0.992072567230513,-0.544498525610752,-1.06090628585334,1
"FakeGeneID000060",-0.862967445281098,-0.860452394388958,1.04264966222871,0.680770177441347,7
"FakeGeneID029790",0.619846260258544,1.12356705900908,-0.595597465547263,-1.14781585372036,1
"FakeGeneID029015",0.91838680614389,0.511665295124761,-0.367785840585872,-1.06226626068278,1
"FakeGeneID021220",0.900353711939034,0.865575352619291,-0.701290804123795,-1.06463826043453,1
"FakeGeneID026235",-0.852401851640464,-0.969134883086747,0.994461800434873,0.827074934292338,7
"FakeGeneID009668",0.801153187952002,0.951137544427453,-1.1499959331633,-0.602294799216159,8
"FakeGeneID019382",0.894323988081357,0.937144508673966,-0.678682915354933,-1.15278558140039,1
"FakeGeneID002926",-0.646748923751168,-1.07471070849048,0.766125000906862,0.955334631334783,3
"FakeGeneID011828",-0.641912461670662,-0.969530561806624,1.00122786466537,0.610215158811918,7
"FakeGeneID005615",-0.531171236533215,-1.21178800838929,0.853119809746935,0.889839435175568,3
"FakeGeneID001374",0.932028820004052,0.922267394312669,-0.942937947939468,-0.911358266377255,8
"FakeGeneID012434",-0.862305130681531,-0.958888385833197,0.854872440461098,0.966321076053631,7
